Date 	Time  	Inlet Cold	Inlet Steam						10 pre-1	10 post-1	10 port	Line 1 Flow Rate	Line 2 Flow Rate	Line 3 Flow Rate	Line 4 Flow Rate	Line 5 Flow Rate	Line 6 Flow Rate
9/3/2015	12:27:44 PM	27.73	46.14	1.50	0.53	27.28	28.25	28.61	27.38	29.31	26.83	0.00	0.00	0.00	0.00	0.00	0.00
9/3/2015	12:27:47 PM	28.12	46.07	1.56	0.56	27.38	28.25	28.64	27.38	29.35	26.67	0.00	0.00	0.00	0.00	0.00	0.00
9/3/2015	12:27:49 PM	27.54	46.30	1.50	0.53	27.28	28.15	28.61	27.25	29.12	26.83	0.00	0.00	0.00	0.00	0.00	0.00
9/3/2015	12:27:51 PM	26.86	46.01	1.50	0.60	27.38	28.12	28.67	27.57	29.12	26.93	0.00	0.00	0.00	0.00	3.06	0.00
9/3/2015	12:27:54 PM	26.74	46.20	1.47	0.56	27.25	28.35	28.64	27.77	29.51	26.57	0.00	0.00	0.00	1.92	3.78	0.00
9/3/2015	12:27:56 PM	26.61	46.24	1.53	0.53	27.44	28.35	28.73	27.64	29.51	26.45	0.00	0.00	0.00	2.15	4.15	0.00
9/3/2015	12:27:59 PM	26.77	46.07	1.56	0.56	27.12	28.28	28.67	27.22	28.96	26.51	0.00	0.00	0.00	1.92	4.33	0.00
9/3/2015	12:28:01 PM	26.80	45.75	1.37	0.66	27.22	28.31	28.70	27.28	28.93	26.54	0.00	0.00	0.00	3.05	4.19	0.00
9/3/2015	12:28:03 PM	26.96	45.78	1.63	0.53	27.25	28.38	28.93	27.61	28.80	26.48	0.00	0.00	0.00	2.83	5.11	5.35
9/3/2015	12:28:06 PM	26.22	45.59	1.47	0.47	27.12	28.48	28.44	27.25	29.15	26.54	0.00	0.00	0.00	3.28	5.23	4.95
9/3/2015	12:28:08 PM	26.67	45.78	1.47	0.53	26.90	28.51	28.41	27.35	28.67	26.54	0.00	0.00	0.00	3.66	4.94	3.26
9/3/2015	12:28:11 PM	26.51	45.69	1.50	0.56	27.03	28.64	28.48	27.57	28.77	26.67	0.00	0.00	0.00	4.28	4.64	5.20
9/3/2015	12:28:13 PM	26.74	45.46	1.47	0.53	27.12	28.41	28.51	27.38	28.73	26.41	0.00	0.00	0.00	4.31	4.59	5.41
9/3/2015	12:28:15 PM	26.38	45.37	1.43	0.53	26.83	28.38	28.51	27.44	28.80	26.51	0.00	0.00	0.00	4.28	4.61	5.50
9/3/2015	12:28:18 PM	26.45	45.33	1.50	0.60	26.74	28.61	28.28	27.22	28.48	22.90	0.00	0.00	0.00	4.33	4.59	5.55
9/3/2015	12:28:20 PM	26.45	45.17	1.53	0.56	27.12	28.28	28.48	27.57	28.31	26.51	0.00	0.00	0.00	4.37	4.58	5.51
9/3/2015	12:28:23 PM	26.35	45.27	1.47	0.56	26.74	27.93	28.64	27.22	28.57	12.46	0.00	0.00	0.00	4.38	4.60	5.53
9/3/2015	12:28:25 PM	26.64	45.17	1.47	0.60	26.80	28.22	28.48	27.12	28.90	12.23	0.00	0.00	0.00	4.33	4.58	5.47
9/3/2015	12:28:27 PM	26.35	45.33	1.43	0.60	26.83	28.12	28.38	27.25	28.64	26.38	0.00	0.00	0.00	4.42	4.60	5.49
9/3/2015	12:28:30 PM	26.41	45.14	1.50	0.53	26.70	27.99	28.12	27.19	28.48	26.48	0.00	0.00	0.00	4.34	4.58	5.48
9/3/2015	12:28:32 PM	26.61	45.24	1.43	0.53	26.80	27.99	28.25	27.41	28.48	12.17	0.00	0.00	0.00	4.39	4.59	5.44
9/3/2015	12:28:35 PM	26.51	45.17	1.50	0.53	26.74	27.83	28.28	27.03	28.35	26.35	0.00	0.00	0.00	4.33	4.57	5.41
9/3/2015	12:28:37 PM	26.16	45.11	1.47	0.56	26.64	28.02	28.15	27.09	28.54	12.20	0.00	0.00	0.00	4.39	4.56	5.44
9/3/2015	12:28:39 PM	26.45	44.88	1.47	0.56	26.48	27.93	28.48	27.03	28.61	12.10	0.00	0.00	0.00	4.37	4.58	5.49
9/3/2015	12:28:42 PM	26.35	44.69	1.56	0.50	26.67	27.96	27.99	27.09	28.28	12.10	0.00	0.00	0.00	4.41	4.59	5.45
9/3/2015	12:28:44 PM	26.51	44.75	1.59	0.53	26.74	27.90	28.12	27.15	28.51	12.33	0.00	0.00	0.00	4.38	4.59	5.47
9/3/2015	12:28:47 PM	26.54	44.82	1.47	0.53	26.54	27.73	28.44	26.93	28.15	26.32	0.00	0.00	0.00	4.39	4.61	5.45
9/3/2015	12:28:49 PM	26.48	44.72	1.53	0.56	26.41	27.96	28.35	26.90	28.35	12.23	0.00	0.00	0.00	4.33	4.58	5.45
9/3/2015	12:28:51 PM	26.48	44.69	1.53	0.60	26.67	27.77	28.35	26.93	28.35	12.01	0.00	0.00	0.00	4.36	4.59	5.51
9/3/2015	12:28:54 PM	26.41	44.98	1.53	0.60	26.80	27.80	28.38	26.86	28.28	26.06	0.00	0.00	0.00	4.36	4.58	5.55
9/3/2015	12:28:56 PM	26.64	45.04	1.43	0.56	27.03	27.90	28.28	27.12	28.51	26.28	0.00	0.00	0.00	4.41	4.59	5.48
9/3/2015	12:28:59 PM	25.38	75.25	1.43	0.47	26.90	28.06	28.31	27.12	28.61	11.91	0.00	0.00	0.00	4.37	4.62	5.53
9/3/2015	12:29:01 PM	25.48	79.40	1.47	0.53	26.67	27.51	28.44	26.90	28.06	25.96	0.00	0.00	0.00	4.39	4.57	5.46
9/3/2015	12:29:03 PM	23.06	115.31	1.43	0.50	26.32	27.73	28.38	27.32	28.06	26.16	0.00	0.00	0.00	4.40	4.65	5.52
9/3/2015	12:29:06 PM	22.90	117.21	1.37	0.53	26.54	27.80	28.48	26.83	28.25	26.12	0.00	0.00	0.00	4.36	4.63	5.50
9/3/2015	12:29:08 PM	23.06	117.11	1.34	0.56	26.77	28.15	28.31	27.06	28.02	12.07	0.00	0.00	0.00	4.45	4.65	5.47
9/3/2015	12:29:11 PM	22.96	116.21	1.43	0.60	26.77	29.15	28.19	27.03	28.31	11.65	0.00	0.00	0.00	4.40	4.62	5.50
9/3/2015	12:29:13 PM	23.32	115.86	1.40	0.60	26.83	29.99	28.28	27.35	28.02	12.13	0.00	0.00	0.00	4.38	4.64	5.45
9/3/2015	12:29:15 PM	23.13	115.21	1.40	0.53	26.93	30.60	28.41	27.90	28.09	26.67	0.00	0.00	0.00	4.38	4.60	5.50
9/3/2015	12:29:18 PM	23.29	115.18	1.37	0.60	27.41	30.96	28.31	28.19	28.09	26.90	0.00	0.00	0.00	4.46	4.64	5.52
9/3/2015	12:29:20 PM	23.03	114.83	1.43	0.50	27.38	31.41	28.15	28.31	28.41	13.26	0.00	0.00	0.00	4.45	4.66	5.55
9/3/2015	12:29:23 PM	23.16	113.83	1.37	0.56	27.51	32.12	28.31	28.48	28.83	13.97	0.00	0.00	0.00	4.39	4.59	5.51
9/3/2015	12:29:25 PM	23.35	113.60	1.40	0.56	27.51	32.73	28.44	28.90	28.93	14.13	0.00	0.00	0.00	4.38	4.67	5.44
9/3/2015	12:29:27 PM	23.38	113.02	1.37	0.53	27.86	34.02	27.96	29.70	29.54	28.22	0.00	0.00	0.00	4.41	4.67	5.50
9/3/2015	12:29:30 PM	23.42	112.28	1.43	0.56	28.15	35.28	28.19	29.89	29.57	14.58	0.00	0.00	0.00	4.36	4.61	5.51
9/3/2015	12:29:32 PM	23.58	110.99	1.47	0.56	28.35	36.76	28.06	30.60	29.93	29.02	0.00	0.00	0.00	4.38	4.65	5.50
9/3/2015	12:29:35 PM	23.32	109.99	1.40	0.60	28.48	37.66	28.19	31.44	30.35	16.84	0.00	0.00	0.00	4.38	4.64	5.47
9/3/2015	12:29:37 PM	23.54	109.06	1.43	0.60	28.96	38.89	28.15	32.09	30.67	30.18	0.00	0.00	0.00	4.35	4.70	5.45
9/3/2015	12:29:39 PM	23.51	107.93	1.40	0.56	29.09	40.21	28.19	32.54	30.93	30.83	0.00	0.00	0.00	4.42	4.66	5.45
9/3/2015	12:29:42 PM	23.71	107.51	1.37	0.53	29.48	41.01	27.90	33.38	31.92	31.47	0.00	0.00	0.00	4.37	4.69	5.42
9/3/2015	12:29:44 PM	23.80	107.06	1.40	0.56	30.09	42.11	27.96	34.02	32.38	20.42	0.00	0.00	0.00	4.44	4.72	5.50
9/3/2015	12:29:47 PM	23.54	106.45	1.40	0.56	30.12	43.17	28.15	34.79	32.76	21.16	0.00	0.00	0.00	4.44	4.69	5.58
9/3/2015	12:29:49 PM	23.64	106.25	1.37	0.56	30.57	44.40	28.19	35.34	33.47	33.34	0.00	0.00	0.00	4.43	4.73	5.57
9/3/2015	12:29:51 PM	23.51	105.93	1.40	0.60	30.64	45.59	27.86	36.08	33.86	34.02	0.00	0.00	0.00	4.46	4.69	5.54
9/3/2015	12:29:54 PM	23.87	105.80	1.47	0.56	31.05	47.04	28.02	36.70	34.66	34.73	0.00	0.00	0.00	4.38	4.66	5.45
9/3/2015	12:29:56 PM	23.74	105.54	1.40	0.56	31.38	48.11	27.90	37.57	35.18	24.48	0.00	0.00	0.00	4.45	4.68	5.50
9/3/2015	12:29:59 PM	23.90	105.45	1.37	0.63	31.51	48.72	28.06	38.21	36.05	35.99	0.00	0.00	0.00	4.43	4.73	5.51
9/3/2015	12:30:01 PM	23.51	105.29	1.43	0.56	31.89	49.56	28.02	38.66	36.66	36.79	0.00	0.00	0.00	4.46	4.68	5.51
9/3/2015	12:30:03 PM	23.54	105.16	1.37	0.50	32.38	50.23	28.38	39.11	37.05	26.86	0.00	0.00	0.00	4.41	4.67	5.51
9/3/2015	12:30:06 PM	23.67	104.96	1.43	0.63	32.34	50.62	28.25	39.66	37.86	37.79	0.00	0.00	0.00	4.46	4.70	5.49
9/3/2015	12:30:08 PM	23.77	105.19	1.34	0.47	32.47	51.33	28.02	39.92	38.47	27.99	0.00	0.00	0.00	4.48	4.71	5.54
9/3/2015	12:30:11 PM	23.93	104.93	1.40	0.60	32.92	51.88	27.80	40.40	39.11	38.47	0.00	0.00	0.00	4.43	4.68	5.53
9/3/2015	12:30:13 PM	23.96	104.83	1.40	0.56	33.02	52.84	27.86	40.66	39.37	29.19	0.00	0.00	0.00	4.42	4.75	5.56
9/3/2015	12:30:15 PM	23.96	104.77	1.40	0.60	32.92	53.17	27.96	40.98	39.98	39.40	0.00	0.00	0.00	4.46	4.74	5.59
9/3/2015	12:30:18 PM	24.00	104.74	1.37	0.47	33.18	53.46	28.28	41.50	40.21	39.60	0.00	0.00	0.00	4.42	4.67	5.57
9/3/2015	12:30:20 PM	23.64	104.90	1.37	0.53	33.31	53.55	27.70	41.72	40.69	30.54	0.00	0.00	0.00	4.46	4.73	5.54
9/3/2015	12:30:23 PM	23.64	104.90	1.43	0.53	33.50	54.07	28.22	41.98	41.21	31.09	0.00	0.00	0.00	4.48	4.68	5.55
