Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
621707.3217	22.606718	10.729236	8.845913	0.28565	20.914024	85.211302	10.8	39.853145
621709.2652	22.615224	10.746813	8.891502	0.290269	20.775488	85.201455	10.8	39.875186
621710.4917	22.71894	10.754918	8.900666	0.278777	20.826862	85.206364	10.8	39.885978
621711.0431	22.616498	10.740577	8.910547	0.288928	20.749071	85.208401	10.8	39.910247
621713.009	22.697697	10.760777	8.951516	0.291964	20.783522	85.202571	10.8	39.92406
621713.6722	22.614854	10.785135	8.930077	0.280975	20.830451	85.198359	10.8	39.904664
621714.2621	22.578239	10.782998	8.919926	0.300421	20.897866	85.201576	10.8	39.908624
621716.5611	22.656276	10.803961	8.91811	0.289096	20.851194	85.203445	10.8	39.90002
621717.0684	22.617443	10.801547	8.903302	0.300905	20.807855	85.208029	10.8	39.901988
621717.5651	22.638524	10.807372	8.920103	0.294535	20.907126	85.205853	10.8	39.895673
621720.615	22.721159	10.79241	8.93804	0.296193	20.831076	85.20112	10.8	39.907114
621721.07	22.660509	10.78205	8.936401	0.297645	20.894532	85.207145	10.8	39.919561
621722.1441	22.63647	10.823038	8.945313	0.288239	20.805887	85.206708	10.8	39.878093
621723.8172	22.594143	10.818461	8.924433	0.296193	20.912566	85.201371	10.8	39.869277
621725.3947	22.591349	10.82836	8.915502	0.298651	20.896268	85.206513	10.8	39.845469
621726.106	22.600595	10.836348	8.904587	0.294889	20.950716	85.208047	10.8	39.829597
621727.89	22.595047	10.851126	8.923483	0.309976	20.858371	85.20337	10.8	39.790494
621729.3191	22.712284	10.881762	8.93193	0.332365	20.939488	85.204421	10.8	39.732641
621730.619	22.688041	10.850598	8.951032	0.327764	20.838739	85.20682	10.8	39.733721
621731.093	22.514212	10.858099	8.949979	0.338642	20.849481	85.207452	10.8	39.717508
621731.7225	22.546226	10.850111	8.984019	0.335848	20.838253	85.204821	10.8	39.725927
621733.111	22.663468	10.875542	8.998082	0.351029	20.802808	85.205537	10.8	39.664048
621736.8692	22.63573	10.848946	9.081147	0.347639	20.806767	85.204021	10.8	39.598581
621737.1541	22.621676	10.849374	9.100388	0.343895	20.797135	85.203705	10.8	39.59343
621739.296	22.665851	10.8337	9.095703	0.35345	20.845175	85.205806	10.8	39.582065
621739.872	22.628333	10.836415	9.087778	0.3525	20.891592	85.204198	10.8	39.571829
621741.944	22.522554	10.829014	9.032075	0.33311	20.852699	85.20867	10.8	39.547765
621742.2061	22.613334	10.818243	9.023684	0.328863	20.852699	85.20867	10.8	39.556416
621743.695	22.682123	10.812435	8.95106	0.334693	20.817509	85.206476	10.8	39.555538
