Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
447163.9567	24.651303	12.335552	-0.068725	33.153961	21.478046	85.808924	12.25	47.961283
447164.5357	24.726065	12.322401	-0.085302	33.146454	21.38808	85.811053	12.25	47.959352
447164.983	24.773859	12.32515	-0.091803	33.141444	21.465089	85.808226	12.25	47.94606
447167.175	24.684896	12.302042	-0.099971	33.13146	21.368593	85.812792	12.25	47.92602
447168.8641	24.806341	12.313324	-0.086476	33.130752	21.423623	85.810876	12.25	47.879904
447169.602	24.733817	12.314933	-0.078243	33.139805	21.419316	85.805948	12.25	47.862505
447170.697	24.82056	12.29625	-0.075952	33.10177	21.431533	85.803903	12.25	47.862057
447172.299	24.732147	12.284297	-0.046559	33.114007	21.382157	85.808719	12.25	47.845509
447174.118	24.719596	12.281782	-0.019784	33.09579	21.401039	85.808719	12.25	47.833343
447174.93	24.728456	12.27185	-0.021488	33.080833	21.441159	85.805465	12.25	47.835622
447176.5511	24.785301	12.267994	-0.037898	33.067925	21.489523	85.804758	12.25	47.823981
447177.735	24.779395	12.262018	-0.048757	33.042258	21.407333	85.803419	12.25	47.823811
447179.465	24.753012	12.218256	-0.064012	33.053117	21.426585	85.806664	12.25	47.872244
447181.6481	24.74802	12.236026	-0.079286	33.027338	21.505207	85.805697	12.25	47.870871
447183.037	24.60811	12.245237	-0.080329	33.030915	21.412146	85.803679	12.25	47.864282
447183.4856	24.761677	12.245623	-0.086187	33.031175	21.362163	85.806274	12.25	47.864559
447185.367	24.733799	12.268296	-0.090397	33.07085	21.412146	85.802062	12.25	47.834744
447185.8101	24.682488	12.260383	-0.091133	33.071334	21.366976	85.802071	12.25	47.840862
447187.788	24.712389	12.250132	-0.079845	33.048479	21.410665	85.806367	12.25	47.847546
447190.1901	24.677689	12.259939	-0.091505	33.041587	21.383773	85.801448	12.25	47.831986
447190.4611	24.785284	12.262823	-0.087165	33.063753	21.383773	85.801448	12.25	47.828054
447192.544	24.776987	12.272562	-0.06499	33.080144	21.412281	85.798268	12.25	47.803791
447193.3611	24.662554	12.27242	-0.067998	33.088992	21.326248	85.80645	12.25	47.797919
447194.192	24.683596	12.278698	-0.079482	33.091413	21.486696	85.810821	12.25	47.784388
447195.979	24.761115	12.277533	-0.084082	33.076512	21.442505	85.804795	12.25	47.769826
447197.748	24.783439	12.270199	-0.088115	33.047585	21.487672	85.802517	12.25	47.764867
447198.2361	24.769236	12.270006	-0.093964	33.072954	21.362904	85.808375	12.25	47.761995
447199.9741	24.729353	12.258598	-0.068446	33.028847	21.428066	85.808282	12.25	47.767567
447200.3234	24.728438	12.266628	-0.064152	33.040004	21.458425	85.805279	12.25	47.761903
447202.658	24.729915	12.24253	-0.074145	33.048796	21.52136	85.808812	12.25	47.771196
447203.672	24.707943	12.221382	-0.077666	33.019962	21.334024	85.812262	12.25	47.799474
447204.54	24.728438	12.230829	-0.084082	33.048293	21.460881	85.807287	12.25	47.795984
447206.914	24.630613	12.262295	-0.100083	33.018696	21.428301	85.805595	12.25	47.761104
447207.2	24.661236	12.266335	-0.098043	33.03341	21.396461	85.805325	12.25	47.755697
447208.961	24.749286	12.25921	-0.091431	33.010407	21.467175	85.799263	12.25	47.754761
447211.038	24.8722	12.257693	-0.098564	33.044251	21.476665	85.803568	12.25	47.751958
447211.3266	24.679149	12.259352	-0.098695	33.00819	21.514932	85.801541	12.25	47.749618
447213.576	24.63928	12.229764	-0.080795	33.028568	21.466535	85.803726	12.25	47.782623
447214.8553	24.754999	12.220595	-0.078318	33.003291	21.497162	85.799923	12.25	47.803604
447215.9324	24.667705	12.215029	-0.077293	33.038477	21.338332	85.799923	12.25	47.820549
447216.2151	24.727331	12.198466	-0.077451	33.036093	21.309821	85.80222	12.25	47.84113
447217.9963	24.743011	12.196513	-0.084343	33.02758	21.479627	85.799923	12.25	47.881415
447220.4731	24.611399	12.212506	-0.116986	33.04304	21.45839	85.802517	12.25	47.900743
447220.7883	24.666967	12.232279	-0.113419	33.002323	21.332273	85.807436	12.25	47.883951
447222.43	24.74614	12.225649	-0.116856	33.056377	21.391748	85.806004	12.25	47.900763
447224.1551	24.721039	12.228432	-0.102271	33.041122	21.408544	85.800778	12.25	47.906966
447224.7248	24.638541	12.23916	-0.099514	33.064312	21.45839	85.802406	12.25	47.899787
447225.474	24.831968	12.21787	-0.096115	33.061071	21.401004	85.800276	12.25	47.926245
447226.7012	24.64647	12.21269	-0.094243	33.019608	21.380776	85.805028	12.25	47.945102
447229.0461	24.769764	12.230175	-0.086616	33.038309	21.429512	85.801522	12.25	47.95352
447230.0624	24.731744	12.251557	-0.088972	33.063753	21.330657	85.799579	12.25	47.934684
447230.384	24.840441	12.256436	-0.09049	33.07003	21.373606	85.805781	12.25	47.929335
447231.539	24.713287	12.219782	-0.098583	33.062728	21.305108	85.799095	12.25	47.973101
447235.4964	24.747793	12.256016	-0.115393	33.083758	21.336951	85.80791	12.25	47.944457
447236.518	24.678763	12.25325	-0.112003	33.070049	21.367547	85.807566	12.25	47.94412
447237.357	24.740024	12.257458	-0.108604	33.110654	21.461352	85.804795	12.25	47.940621
447238.8749	24.749815	12.261808	-0.118355	33.071073	21.422108	85.809389	12.25	47.931326
447239.168	24.778976	12.246017	-0.112516	33.11438	21.422108	85.809389	12.25	47.946991
447241.7617	24.780452	12.236596	-0.090062	33.069192	21.519575	85.801262	12.25	47.973593
447242.4601	24.862939	12.26045	-0.103873	33.063399	21.458625	85.805242	12.25	47.949715
447244.1181	24.823076	12.268824	-0.110998	33.100428	21.510085	85.805149	12.25	47.932754
447244.404	24.731182	12.267273	-0.109424	33.052875	21.518364	85.806441	12.25	47.932498
447247	24.733766	12.232363	-0.094243	33.092009	21.415443	85.8038	12.25	47.969634
447247.7801	24.744647	12.254826	-0.094569	33.097206	21.510085	85.803112	12.25	47.947065
447249.462	24.885101	12.264415	-0.088059	33.064684	21.4664	85.805548	12.25	47.939545
447249.7512	24.778976	12.268187	-0.096562	33.10203	21.418641	85.796324	12.25	47.934337
447251.7011	24.677639	12.234894	-0.12263	33.0745	21.425305	85.806171	12.25	47.97258
447252.624	24.728774	12.25771	-0.129382	33.088228	21.391378	85.806887	12.25	47.949489
447254.0431	24.724151	12.272948	-0.133973	33.098286	21.553263	85.807882	12.25	47.927244
447254.8061	24.762718	12.252806	-0.12357	33.074519	21.543773	85.80328	12.25	47.942507
