Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
620753.4438	22.312343	10.408276	0.023318	32.802834	20.752608	85.211571	10.4	42.681177
620754.206	22.23765	10.403038	0.021837	32.761837	20.626279	85.210763	10.4	42.683451
620755.862	22.255574	10.422232	0.01597	32.82811	20.660733	85.209563	10.4	42.660858
620756.286	22.245789	10.432466	0.009739	32.847816	20.672589	85.210009	10.4	42.646398
620758.882	22.206572	10.431502	-0.022652	32.826936	20.801876	85.206959	10.4	42.614712
620759.328	22.249489	10.425954	-0.03015	32.866089	20.828664	85.21238	10.4	42.616501
620760.4521	22.292774	10.433162	-0.046923	32.802293	20.726306	85.214733	10.4	42.597583
620762.7932	22.287224	10.428351	-0.061051	32.798717	20.809538	85.213887	10.4	42.576068
620763.469	22.348265	10.421654	-0.0555	32.807993	20.644803	85.214686	10.4	42.577177
620765.322	22.206776	10.437303	-0.04194	32.799201	20.825583	85.215895	10.4	42.544286
620765.6964	22.377323	10.434143	-0.035551	32.793334	20.726306	85.218341	10.4	42.542869
620767.556	22.251173	10.404161	0.016025	32.751089	20.744458	85.214156	10.4	42.562547
620769.5744	22.318134	10.432835	0.035444	32.770647	20.712599	85.209507	10.4	42.522037
620770.4662	22.327753	10.44343	0.040342	32.733916	20.68692	85.213487	10.4	42.501299
620772.5801	22.248953	10.444201	0.053493	32.779513	20.659875	85.210902	10.4	42.46982
620772.853	22.307406	10.436045	0.065311	32.751127	20.782243	85.212455	10.4	42.474228
620774.239	22.284138	10.446288	0.07211	32.749785	20.707666	85.215709	10.4	42.4433
620776.1531	22.303541	10.453471	0.067472	32.720616	20.812619	85.220879	10.4	42.399779
620776.4743	22.257871	10.459867	0.068617	32.763979	20.750268	85.21451	10.4	42.387206
620779.1831	22.400297	10.436716	0.089907	32.695005	20.682357	85.212148	10.4	42.361693
620779.4541	22.324423	10.423087	0.087914	32.686921	20.653831	85.215216	10.4	42.372374
620781.6633	22.258611	10.423087	0.041506	32.612788	20.895104	85.211209	10.4	42.363489
