Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
1051644.696	21.203448	2.215955	-0.034313	12.986934	21.4941	86.135741	2	14.093089
1051645.391	21.194931	2.195268	-0.038187	12.982166	21.413022	86.136364	2	14.066155
1051646.975	21.199027	2.181178	-0.033092	12.920699	21.468791	86.132106	2	13.979209
1051647.405	21.097733	2.161615	-0.03611	12.894938	21.345637	86.128349	2	13.974137
1051648.989	21.103659	2.164197	-0.02242	12.837941	21.474714	86.126889	2	13.889524
1051650.744	21.155134	2.178614	-0.00235	12.816297	21.380811	86.13457	2	13.780154
1051651.288	21.178464	2.19044	-0.001232	12.821122	21.485956	86.13165	2	13.735088
1051654.146	21.216235	2.224882	-0.033391	12.719589	21.397101	86.133854	2	13.500153
1051655.495	21.186981	2.239039	-0.042573	12.652683	21.488782	86.128135	2	13.382281
1051658.199	21.294365	2.188211	-0.037088	12.529934	21.419316	86.130636	2	13.226397
1051658.482	21.21068	2.181799	-0.030774	12.533026	21.514832	86.131064	2	13.215704
1051660.299	21.165873	2.156846	-0.021954	12.432667	21.441024	86.135462	2	13.140026
1051661.075	21.192536	2.175739	-0.023165	12.378743	21.464483	86.141171	2	13.078065
1051662.667	21.189573	2.117325	-0.027411	12.310254	21.400063	86.136727	2	13.056874
1051664.557	21.155504	2.107753	-0.023379	12.219506	21.384378	86.138419	2	12.997932
1051665.292	21.245118	2.107342	-0.020911	12.162919	21.522841	86.142324	2	12.9712
1051667.026	21.174217	2.069515	-0.034545	12.11056	21.406593	86.143171	2	12.958482
1051668.487	21.183452	2.070789	-0.055267	12.087221	21.420661	86.133631	2	12.924405
1051668.919	21.309176	2.081434	-0.060725	12.085656	21.535058	86.144063	2	12.902803
1051670.741	21.141606	2.038527	-0.071891	12.018135	21.373641	86.135481	2	12.904871
1051671.981	21.219741	2.031645	-0.069898	12.004799	21.464348	86.140725	2	12.897427
1051672.554	21.099388	2.029458	-0.065121	11.99962	21.351796	86.134886	2	12.893752
1051675.384	21.097907	1.996039	-0.059225	11.977939	21.459535	86.141348	2	12.91024
1051676.536	21.159948	1.996148	-0.066117	11.988761	21.433249	86.138354	2	12.912212
1051676.807	21.042159	2.001898	-0.0711	11.989022	21.433249	86.138354	2	12.906491
1051678.581	21.061417	1.999241	-0.071053	12.012547	21.431768	86.13139	2	12.906578
1051681.223	21.068454	1.970063	-0.074536	12.006643	21.506047	86.13868	2	12.958633
1051681.496	21.091415	1.969569	-0.075673	12.009493	21.412146	86.135825	2	12.961808
1051683.989	21.11529	2.017279	-0.0692	12.002973	21.390167	86.138419	2	12.919598
1051684.433	21.061395	2.023649	-0.069125	12.036855	21.432139	86.137257	2	12.91022
1051686.81	21.08586	2.061091	-0.048999	12.02851	21.447923	86.131204	2	12.83928
1051688.102	21.158988	2.08	-0.052995	12.010871	21.46731	86.129827	2	12.78886
1051689.626	21.130103	2.106864	-0.047807	12.022047	21.367347	86.132645	2	12.716027
1051690.71	21.095836	2.123997	-0.02621	12.015956	21.356474	86.131799	2	12.658895
1051691.155	21.141213	2.12802	-0.017772	12.027299	21.49383	86.130525	2	12.63686
1051692.933	21.098799	2.109656	-0.008683	11.971588	21.401409	86.135379	2	12.584213
1051695.777	21.149534	2.118029	0.004691	11.893487	21.327864	86.130051	2	12.464703
1051696.851	21.108231	2.100913	0.017646	11.875438	21.381281	86.131669	2	12.442821
1051697.15	21.136921	2.100151	0.021306	11.876611	21.422748	86.13668	2	12.433387
1051699.117	21.052484	2.051225	0.019965	11.815107	21.281445	86.141209	2	12.440508
1051700.343	21.096381	2.041653	-0.002042	11.808569	21.414838	86.135341	2	12.430497
1051701.219	21.232286	2.07529	-0.011933	11.788918	21.367952	86.141432	2	12.378696
1051703.019	21.174149	2.044931	-0.018489	11.733598	21.396831	86.138763	2	12.376222
1051703.664	21.084704	2.05602	-0.033987	11.733411	21.353277	86.13403	2	12.357496
1051704.981	21.188765	2.035811	-0.033418	11.694258	21.369433	86.140939	2	12.360094
1051706.559	21.191357	2.021235	-0.040822	11.670379	21.448058	86.141432	2	12.368009
1051707.961	21.110998	1.992602	-0.048962	11.642812	21.398447	86.134709	2	12.399547
1051708.675	21.152648	1.984313	-0.059533	11.62765	21.345872	86.135964	2	12.409828
1051711.265	21.211157	1.947742	-0.067635	11.572143	21.449909	86.131092	2	12.476398
1051711.523	21.177656	1.931188	-0.067021	11.595091	21.429412	86.133314	2	12.494708
1051713.964	21.232831	1.914776	-0.091049	11.533177	21.371049	86.137694	2	12.561227
1051715.031	21.192446	1.907392	-0.099924	11.52202	21.339207	86.138549	2	12.60333
1051715.476	21.156352	1.893872	-0.101312	11.523398	21.465694	86.133631	2	12.631823
1051716.52	21.119515	1.901047	-0.085936	11.528856	21.369063	86.135741	2	12.658674
1051719.029	21.146897	1.935052	-0.084241	11.523901	21.449404	86.139749	2	12.696193
1051719.522	21.287981	1.94237	-0.079258	11.538038	21.404606	86.137173	2	12.698511
1051721.146	21.20985	1.873437	-0.082015	11.583636	21.51049	86.137871	2	12.830864
1051723.3	21.270404	1.986668	-0.085116	11.62819	21.446678	86.139349	2	12.766704
1051723.791	21.221155	2.016256	-0.075086	11.678035	21.480503	86.138531	2	12.737533
1051725.499	21.257074	2.078617	-0.08168	11.738589	21.422378	86.137164	2	12.652987
1051726.744	21.260951	2.126185	-0.066276	11.76476	21.432004	86.128182	2	12.565746
1051727.188	21.158377	2.115573	-0.058266	11.769211	21.500124	86.129242	2	12.558551
1051733.39	21.224118	1.975839	0.00702	11.611464	21.508133	86.132822	2	12.634272
1051733.862	21.258184	1.97863	-0.004622	11.562178	21.537379	86.137954	2	12.632803
1051734.848	21.241696	1.962486	-0.034015	11.528744	21.385589	86.140372	2	12.661117
1051737.493	21.154326	1.925866	-0.089559	11.489666	21.526138	86.138215	2	12.761897
1051737.758	21.157288	1.931599	-0.089363	11.460813	21.464078	86.143133	2	12.761784
1051739.726	21.314663	1.865114	-0.088339	11.392603	21.518499	86.133221	2	12.898449
1051741.775	21.276895	1.858467	-0.099468	11.370791	21.437792	86.135118	2	12.9926
1051742.476	21.23246	1.844846	-0.109433	11.369506	21.457044	86.132775	2	13.041008
1051743.339	21.227647	1.872188	-0.107552	11.41136	21.401509	86.131092	2	13.051597
1051744.082	21.123393	1.911046	-0.105931	11.4043	21.369668	86.134086	2	13.042073
1051746.114	21.256529	1.933803	-0.100986	11.496036	21.462227	86.130683	2	13.060741
1051747.931	21.174323	1.901709	-0.102672	11.562998	21.519104	86.133138	2	13.15064
1051749.138	21.122304	1.936569	-0.1054	11.593117	21.489253	86.135788	2	13.147366
1051749.433	21.081175	1.944817	-0.101731	11.619194	21.437287	86.135341	2	13.144892
1051751.436	21.135636	1.984539	-0.068269	11.663711	21.44136	86.133984	2	13.129637
