Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
1054887.231	21.494116	6.918161	6.259686	0.314353	21.28973	86.131315	7	29.34068
1054887.969	21.401369	6.948428	6.253363	0.312454	21.264317	86.133361	7	29.324982
1054889.953	21.438022	7.013086	6.311133	0.336929	21.327868	86.123653	7	29.289343
1054890.356	21.446907	6.992449	6.318667	0.335345	21.267513	86.12608	7	29.3087
1054892.53	21.440434	6.838005	6.399832	0.358833	21.265896	86.125355	7	29.526623
1054893.141	21.449869	6.819221	6.399515	0.360342	21.384517	86.128228	7	29.580311
1054894.702	21.636447	6.872337	6.381736	0.331955	21.307873	86.128442	7	29.608858
1054895.047	21.565373	6.879193	6.364311	0.316849	21.309491	86.130423	7	29.616459
1054896.844	21.48578	6.840477	6.326434	0.296006	21.218031	86.131799	7	29.734224
1054897.177	21.576849	6.833839	6.311803	0.290921	21.25048	86.127875	7	29.758813
1054898.019	21.590916	6.886653	6.286155	0.266148	21.219005	86.133445	7	29.745798
1054900.072	21.662728	6.926258	6.262806	0.222544	21.298617	86.127503	7	29.7578
1054900.388	21.578879	6.943122	6.250569	0.223568	21.298617	86.127503	7	29.747722
1054902.11	21.489662	6.935075	6.280949	0.226455	21.264181	86.130013	7	29.787568
1054903.228	21.564812	6.905018	6.312492	0.220532	21.267377	86.129688	7	29.846518
1054905.946	21.550005	6.906166	6.367804	0.219303	21.361931	86.133361	7	29.938903
1054907.295	21.467999	6.927842	6.407096	0.214255	21.355871	86.131315	7	29.955816
1054907.567	21.616637	6.933148	6.399795	0.211331	21.26307	86.134477	7	29.956493
1054908.298	21.492433	6.945209	6.427669	0.199447	21.301579	86.133017	7	29.959877
1054910.154	21.440423	6.912947	6.435967	0.193617	21.2627	86.122547	7	30.037359
1054911.532	21.46911	6.92319	6.44013	0.200732	21.378222	86.125959	7	30.062763
1054912.369	21.409873	6.93267	6.440549	0.202576	21.25886	86.12767	7	30.073235
1054914.1	21.337855	6.933349	6.440633	0.199633	21.318241	86.130292	7	30.113098
1054915.707	21.470411	6.944245	6.446119	0.198404	21.288249	86.126359	7	30.132924
1054916.565	21.568324	6.952476	6.443576	0.206357	21.27219	86.128665	7	30.138457
1054918.741	21.558699	6.984906	6.448363	0.195032	21.287001	86.126713	7	30.135422
1054918.998	21.508913	6.993405	6.441518	0.198422	21.372669	86.127373	7	30.127851
1054921.659	21.440973	6.960908	6.460256	0.208164	21.356981	86.131743	7	30.17023
1054921.944	21.437461	6.951705	6.445057	0.197789	21.269228	86.130636	7	30.183677
1054923.499	21.438191	6.94857	6.471628	0.208481	21.394143	86.131929	7	30.211481
1054925.144	21.446156	6.968519	6.463497	0.20483	21.322041	86.127819	7	30.211444
1054925.424	21.431347	6.969542	6.481993	0.201533	21.299961	86.131362	7	30.213516
1054928.705	21.549635	6.961478	6.522059	0.225412	21.31218	86.11853	7	30.256982
1054928.997	21.460595	6.95779	6.508508	0.229007	21.31218	86.11853	7	30.264586
1054931.196	21.485949	6.958553	6.520699	0.233496	21.347218	86.122612	7	30.298395
1054931.488	21.424683	6.962484	6.533467	0.23018	21.295888	86.130571	7	30.298259
1054934.429	21.555547	6.950062	6.532927	0.2405	21.319956	86.12648	7	30.355627
1054935.752	21.48651	6.990706	6.534008	0.241394	21.264278	86.131808	7	30.329663
1054936.011	21.395614	6.997948	6.539977	0.247	21.345601	86.129158	7	30.323013
1054937.988	21.530934	7.032398	6.559805	0.278442	21.257242	86.128321	7	30.279379
1054938.257	21.442454	7.036052	6.577603	0.278274	21.373273	86.130358	7	30.272559
1054941.381	21.411164	7.063863	6.61575	0.305077	21.352402	86.129846	7	30.179873
1054941.666	21.551845	7.073075	6.632327	0.301259	21.416688	86.129074	7	30.16401
1054944.422	21.512784	7.108271	6.618302	0.332402	21.46963	86.133937	7	30.047138
1054944.834	21.474663	7.095647	6.615405	0.333911	21.336111	86.125671	7	30.046069
1054946.781	21.482797	7.109251	6.545752	0.334731	21.384107	86.127996	7	29.961474
1054948.885	21.667338	7.034032	6.531335	0.340579	21.489115	86.129158	7	29.98026
1054949.966	21.495754	7.051282	6.509933	0.335941	21.348933	86.12966	7	29.949279
1054950.244	21.686766	7.046672	6.517756	0.315117	21.334357	86.130636	7	29.949506
1054953.235	21.418378	7.003664	6.507931	0.292225	21.296589	86.132961	7	29.963885
1054953.679	21.45521	6.996431	6.509179	0.290828	21.456166	86.133361	7	29.970827
1054955.513	21.536106	6.968134	6.515353	0.255177	21.366432	86.131473	7	30.009604
1054955.972	21.487609	6.952912	6.501178	0.2432	21.38397	86.132636	7	30.031383
1054958.142	21.423	6.968025	6.48271	0.21541	21.340885	86.125597	7	30.052095
1054958.404	21.440771	6.977169	6.471227	0.213137	21.426041	86.125904	7	30.045373
1054961.496	21.560528	6.93205	6.475921	0.212616	21.347549	86.125699	7	30.151144
1054961.946	21.4391	6.935285	6.462435	0.222059	21.376195	86.122398	7	30.158647
1054964.003	21.619757	6.930641	6.470883	0.2028	21.432705	86.125801	7	30.203915
1054964.265	21.599217	6.917976	6.485225	0.2055	21.374948	86.125132	7	30.223171
1054965.975	21.47168	6.914406	6.475344	0.192816	21.445527	86.130032	7	30.279496
1054967.501	21.528692	6.959609	6.490561	0.189798	21.401976	86.132022	7	30.262672
1054968.734	21.394111	6.977094	6.503814	0.21785	21.352226	86.130497	7	30.259286
1054969.193	21.559598	6.987186	6.511786	0.222488	21.405172	86.125132	7	30.25113
1054970.616	21.495003	6.935469	6.557989	0.242623	21.44428	86.132515	7	30.323945
1054973.243	21.445204	6.944438	6.622902	0.250725	21.339735	86.129437	7	30.376838
1054973.517	21.42336	6.951261	6.624439	0.250353	21.446735	86.135286	7	30.3747
1054975.29	21.488889	6.99773	6.62389	0.261287	21.368245	86.129186	7	30.339092
1054977.69	21.393741	7.057074	6.634581	0.296025	21.365283	86.130506	7	30.253544
1054977.936	21.52647	7.064308	6.62294	0.296379	21.365283	86.130506	7	30.241461
1054979.872	21.441692	7.059848	6.652397	0.310274	21.389349	86.129651	7	30.200955
1054981.49	21.611423	7.101112	6.644835	0.311224	21.393792	86.126443	7	30.109989
1054981.788	21.461684	7.091901	6.635326	0.310926	21.412674	86.128219	7	30.109603
1054983.2	21.663246	7.099134	6.626488	0.339667	21.344179	86.129781	7	30.057622
1054985.861	21.641216	7.09315	6.601305	0.317762	21.397124	86.126294	7	29.98365
1054986.589	21.533124	7.081616	6.584876	0.315005	21.361444	86.128145	7	29.973669
1054988.171	21.672309	7.061164	6.566026	0.338549	21.418228	86.129437	7	29.95904
1054988.871	21.396333	7.067451	6.565151	0.345497	21.240131	86.12714	7	29.936589
1054990.254	21.459642	7.072119	6.564015	0.352072	21.305301	86.124156	7	29.895392
1054992.538	21.502957	7.072078	6.54564	0.349483	21.332935	86.133538	7	29.840921
1054992.812	21.570333	7.062187	6.544299	0.354419	21.227035	86.119209	7	29.844679
1054995.194	21.541278	7.027628	6.534036	0.361888	21.296648	86.128498	7	29.840422
1054995.467	21.559968	7.018601	6.544308	0.343932	21.314928	86.132096	7	29.847445
1054997.743	21.558857	6.984897	6.54591	0.352947	21.334416	86.126973	7	29.88117
1054998.014	21.475742	6.968217	6.548043	0.353469	21.309004	86.129679	7	29.899896
1055000.444	21.582729	6.98535	6.51472	0.343224	21.307522	86.12105	7	29.905074
1055001.251	21.647879	6.988409	6.490366	0.329199	21.248142	86.132868	7	29.905713
1055002.604	21.610862	6.995777	6.472335	0.334079	21.278271	86.1298	7	29.901359
1055004.325	21.517945	6.9609	6.48204	0.332347	21.256054	86.132422	7	29.940491
1055005.271	21.574955	6.96862	6.500052	0.319383	21.199905	86.12781	7	29.946628
1055007.449	21.717277	6.946014	6.520438	0.313012	21.314187	86.133863	7	30.001009
1055009.015	21.569212	6.954555	6.533076	0.3148	21.298772	86.129595	7	30.018308
1055009.777	21.52646	6.956047	6.539931	0.297143	21.233602	86.126713	7	30.028309
1055011.125	21.578467	6.96121	6.558641	0.285687	21.241613	86.124779	7	30.041678
1055012.473	21.573845	6.960364	6.568019	0.275256	21.368245	86.126006	7	30.058085
1055014.911	21.576246	6.933759	6.554618	0.259592	21.215692	86.131566	7	30.128822
1055016.063	21.656572	6.946441	6.547363	0.246125	21.290256	86.125132	7	30.1383
1055016.567	21.56514	6.951051	6.536569	0.250018	21.395643	86.126852	7	30.142301
1055018.473	21.636214	6.931228	6.512317	0.22314	21.339365	86.126657	7	30.19743
1055020.435	21.548482	6.942141	6.483269	0.207978	21.40032	86.126117	7	30.235492
1055021.705	21.528301	6.929024	6.474943	0.211815	21.365049	86.122965	7	30.275346
