# Total Energy along IRC
# X-Axis:  Intrinsic Reaction Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       -1.9465700000     -113.2035965090
       -1.8383600000     -113.1963341490
       -1.7301200000     -113.1878100090
       -1.6218700000     -113.1782862020
       -1.5136300000     -113.1680178520
       -1.4053800000     -113.1572240670
       -1.2971300000     -113.1460872360
       -1.1888900000     -113.1347639870
       -1.0806500000     -113.1233994540
       -0.9724100000     -113.1121410340
       -0.8641600000     -113.1011496790
       -0.7559200000     -113.0906087440
       -0.6476800000     -113.0807330100
       -0.5394700000     -113.0717858500
       -0.4313300000     -113.0640941890
       -0.3232700000     -113.0580044700
       -0.2151900000     -113.0536580470
       -0.1079500000     -113.0508636020
       -0.0077300000     -113.0492571700
       -0.0035200000     -113.0490207770
        0.0000000000     -113.0492621380
        0.0966400000     -113.0508929200
        0.2032700000     -113.0539531730
        0.3114200000     -113.0588260470
        0.4196400000     -113.0654169770
        0.5278700000     -113.0733635290
        0.6361200000     -113.0824462850
        0.7443600000     -113.0924094130
        0.8526000000     -113.1030148930
        0.9608400000     -113.1140520900
        1.0690800000     -113.1253378580
        1.1773200000     -113.1367114660
        1.2855600000     -113.1480251700
        1.3938000000     -113.1591317330
        1.5020500000     -113.1698700500
        1.6102900000     -113.1800509410
        1.7185400000     -113.1894476470
        1.8267700000     -113.1978012690
        1.9349500000     -113.2048610750
        2.0430100000     -113.2104842240
        2.1509100000     -113.2147513820
